#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
725,328,333,-1,-1,-15,355,665.6854248,1,1,524,1.875170211,1.270392032
726,328,362,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
727,329,331,-1,-1,1,102,2052.081543,1,1,241,20.1184465,8.514861174
728,329,362,-1,-1,-15,503,6011.879395,1,1,1265,11.95204651,4.75247383
729,330,336,-1,-1,1,101,300,1,1,200,2.97029703,1.5
730,330,367,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
731,331,362,-1,-1,-15,325,7108.326172,1,1,1224,21.87177284,5.807456023
732,332,342,-1,-1,-15,2845,31759.90234,1,1,5828,11.16341031,5.449537121
733,332,344,-1,-1,-15,1088,2114.213623,1,1,1731,1.943211051,1.221382798
734,332,362,-1,-1,1,158,362.1320496,1,1,241,2.291974997,1.502622612
735,332,364,-1,-1,-15,2660,8953.300781,1,1,4345,3.365902549,2.060598569
736,333,343,-1,-1,1,1183,11371.06738,1,1,1389,9.61206034,8.186513595
737,333,352,-1,-1,-15,4442,60554.73047,1,0,6718,13.63231213,9.013803285
738,333,362,-1,-1,1,124,362.1320496,1,1,241,2.920419755,1.502622612
739,334,339,-1,-1,1,2710,24345.68945,1,1,3362,8.983649245,7.241430533
740,334,347,-1,-1,1,1990,24910.76563,1,1,2655,12.51797268,9.382585923
741,334,350,-1,-1,-15,2250,25193.60742,0,1,2938,11.19715885,8.575087618
742,334,361,-1,-1,-15,2374,30077.06055,1,1,3538,12.66935996,8.501147696
743,335,337,-1,-1,-15,1679,9101.219727,1,0,3055,5.420619253,2.97912266
744,335,340,-1,-1,1,89,362.1320496,1,1,241,4.068899433,1.502622612
745,335,355,-1,-1,-11,7639,-1,1,0,-1,-1,-1
746,335,357,-1,-1,-15,1561,16116.04297,1,1,1889,10.32417871,8.531520894
747,335,363,-1,-1,-15,1543,7839.087402,1,0,1972,5.080419574,3.975196451
748,336,367,-1,-1,1,38,300,1,1,200,7.894736842,1.5
749,337,340,-1,-1,-15,1538,8497.666016,1,1,2572,5.525140452,3.303913692
750,337,346,-1,-1,-15,870,1486.396118,0,1,1165,1.708501285,1.275876496
751,337,363,-1,-1,1,228,562.132019,1,1,341,2.465491312,1.648480994
752,337,367,-1,-1,-15,3966,18930.86523,0,1,8814,4.773289267,2.147817703
753,338,363,-1,-1,-15,2979,20093.60742,1,0,9876,6.745084734,2.034589654
754,338,367,-1,-1,1,342,824.2640991,1,1,482,2.410128945,1.710091492
755,338,370,-1,-1,-15,3727,6704.772949,1,0,6284,1.798973155,1.066959413
756,339,342,-1,-1,1,285,762.132019,1,1,441,2.674147435,1.728190519
